Group,N_total,tf,at_risk,events,fraction_frozen,S_T,FF_CI_lower,FF_CI_upper,K,K_CI_lower,K_CI_upper
Dry_heat,46,-25.34,34,1,0.2826086956521739,0.7173913043478263,0.1749998905796999,0.43641434815117275,0.3321338350226147,0.19237176001679807,0.5734359573213694
Dry_heat,46,-25.4,33,1,0.30434782608695654,0.6956521739130437,0.19290316537037466,0.4591036179695581,0.3629054936893685,0.21431162456555322,0.6145275489227593
Dry_heat,46,-25.53,32,1,0.32608695652173914,0.6739130434782611,0.21111893615447141,0.4814889613888701,0.39465419200394874,0.2371397124071922,0.6567939620287976
Dry_heat,46,-25.72,31,1,0.34782608695652173,0.6521739130434785,0.22963145731866497,0.5035821902226222,0.4274440148269396,0.26088625178083047,0.7003373484198215
Dry_heat,46,-26.06,30,1,0.3695652173913043,0.6304347826086959,0.248427878081663,0.5253930062082371,0.46134556650262093,0.2855881037774433,0.745268198907502
Dry_heat,46,-26.12,29,1,0.391304347826087,0.6086956521739133,0.2674977654459013,0.5469292435940607,0.496436886313891,0.31128888750976746,0.7917069705396975
Dry_heat,46,-26.22,28,1,0.41304347826086957,0.5869565217391307,0.2868327492690448,0.5681970619176783,0.5328045304847661,0.3380393128206488,0.8397859566579701
Dry_heat,46,-26.32,27,1,0.43478260869565216,0.5652173913043481,0.30642625809017554,0.5892010944853425,0.5705448584676128,0.3658977119172227,0.8896514652091373
Dry_heat,46,-26.4,26,1,0.45652173913043476,0.5434782608695655,0.3262733244645627,0.6099445577504969,0.6097655716208943,0.3949307762295132,0.9414663903480549
Dry_heat,46,-27.01,25,1,0.4782608695652174,0.5217391304347829,0.3463704453617539,0.6304293257363686,0.6505875661411494,0.4252145182238868,0.995413286887358
Dry_heat,46,-27.51,24,2,0.5217391304347826,0.4782608695652177,0.38730763441411176,0.6706237830725675,0.7375989431307791,0.48989231960906515,1.110554665036994
Dry_heat,46,-27.6,22,1,0.5434782608695652,0.4565217391304351,0.4081473627024852,0.6903307360486383,0.784118958765672,0.5244975985686517,1.172250441515193
Dry_heat,46,-27.66,21,1,0.5652173913043478,0.43478260869565244,0.4292364613216221,0.7097734511183833,0.8329091229351039,0.5607802729978897,1.2370934579418307
Dry_heat,46,-27.94,20,1,0.5869565217391305,0.4130434782608698,0.4505780797942358,0.728947103483317,0.8842024173226547,0.5988886076717376,1.3054412870510839
Dry_heat,46,-27.99,19,1,0.6086956521739131,0.3913043478260872,0.47217681758073426,0.7478452965995572,0.9382696385929304,0.6389939331429948,1.377712477448986
Dry_heat,46,-28.03,18,1,0.6304347826086957,0.36956521739130455,0.49403885742504683,0.7664598860641112,0.995428052432879,0.6812954059735623,1.4544014224701296
Dry_heat,46,-28.34,17,1,0.6521739130434783,0.3478260869565219,0.5161721522509534,0.7847807424806337,1.0560526742493137,0.7260261220058529,1.53609796808404
Dry_heat,46,-28.52,16,1,0.6739130434782609,0.3260869565217393,0.5385866792281492,0.8027954359531982,1.120591195386885,0.7734610633257804,1.6235136928278675
Dry_heat,46,-28.55,15,1,0.6956521739130435,0.3043478260869567,0.5612947809510935,0.8204888170876564,1.1895840668738362,0.8239275742568295,1.7175177726470716
Dry_heat,46,-28.69,14,1,0.717391304347826,0.2826086956521741,0.5843116229480779,0.837842457726441,1.2636920390275581,0.8778193930568853,1.81918693313505
Dry_heat,46,-28.76,13,1,0.7391304347826086,0.2608695652173915,0.6076558107716359,0.8548338966400112,1.3437347467010945,0.9356157906919875,1.9298766517786132
Dry_heat,46,-28.85,12,1,0.7608695652173914,0.23913043478260887,0.6313502317807731,0.8714356067210365,1.4307461236907246,0.9979082232752065,2.0513253851516704
Dry_heat,46,-28.89,11,1,0.782608695652174,0.21739130434782625,0.655423221761516,0.8876135529920052,1.5260563034950494,1.065438344743155,2.185811927013371
Dry_heat,46,-29.58,10,1,0.8043478260869565,0.19565217391304363,0.6799102143391391,0.9033251299509795,1.6314168191528757,1.1391537423534348,2.336401785694277
Dry_heat,46,-30.02,9,1,0.8260869565217391,0.173913043478261,0.7048561293091005,0.9185161225101343,1.749199854809259,1.2202923442706861,2.5073501005149508
Dry_heat,46,-30.14,8,1,0.8478260869565217,0.15217391304347838,0.730318927126036,0.9331160637722347,1.8827312474337816,1.3105152297419225,2.70479645685736
Dry_heat,46,-30.81,7,1,0.8695652173913043,0.13043478260869576,0.7563750591506624,0.9470308221958066,2.0368819272610397,1.4121253639483355,2.9380450854605833
Dry_heat,46,-31.01,6,1,0.8913043478260869,0.10869565217391314,0.7831280611144127,0.9601300902067955,2.219203484054994,1.5284482430292148,3.2221333801145207
Dry_heat,46,-31.7,5,1,0.9130434782608695,0.08695652173913052,0.8107222276650858,0.9722247201121067,2.442347035369204,1.6645396479732926,3.58360886653536
Dry_heat,46,-32.44,4,1,0.9347826086956522,0.0652173913043479,0.8393624142850467,0.98302167842338,2.730029107820986,1.8286044717565937,4.0758179500623655
Dry_heat,46,-32.54,3,1,0.9565217391304348,0.043478260869565265,0.8693178469851375,0.9920226402557504,3.1354942159291506,2.0349872169115972,4.8311477813829615
Dry_heat,46,-32.67,2,1,0.9782608695652174,0.021739130434782632,0.9004924489862556,0.9982575863677177,3.8286413964890955,2.3075217481116876,6.352483981962686
Dry_heat,46,-33.08,1,1,1.0,0.0,0.9004924489862556,1.0,inf,2.3075217481116876,inf
Wet_heat,44,-15.04,44,1,0.022727272727272728,0.9772727272727273,0.0032328903854610402,0.15059328339956635,0.02298951822469872,0.0032381274659007077,0.16321715366962725
Wet_heat,44,-15.29,43,1,0.045454545454545456,0.9545454545454545,0.01156539717895666,0.1697557886372627,0.04652001563489282,0.01163279655591181,0.1860353909113003
Wet_heat,44,-15.43,42,1,0.06818181818181818,0.9318181818181818,0.02251257283273833,0.19668688209978147,0.07061756721395329,0.022769849438315833,0.21901070592173788
Wet_heat,44,-15.58,41,1,0.09090909090909091,0.9090909090909091,0.03512594652908663,0.22434235059213126,0.0953101798043249,0.035757700698828165,0.25404402958802197
Wet_heat,44,-15.62,40,1,0.11363636363636363,0.8863636363636364,0.048942955491925844,0.25171486191493997,0.12062798778861475,0.050181234525840376,0.2899711729976917
Wet_heat,44,-15.84,39,1,0.13636363636363635,0.8636363636363636,0.06369595404902628,0.278599192759275,0.1466034741918754,0.06581501983443978,0.32656039152146843
Wet_heat,44,-15.88,38,1,0.1590909090909091,0.8409090909090909,0.07921327571835124,0.30496834153813535,0.17327172127403667,0.0825268392700051,0.3637978827111039
Wet_heat,44,-16.02,37,1,0.18181818181818182,0.8181818181818182,0.09537699580118564,0.33084208462954723,0.20067069546215124,0.10023699201763579,0.40173519981703415
Wet_heat,44,-16.06,36,1,0.20454545454545456,0.7954545454545455,0.11210207160381247,0.35625130619966117,0.22884157242884753,0.11889848809649604,0.44044685605426703
Wet_heat,44,-16.14,35,2,0.25,0.75,0.14699679877907346,0.40579775398284645,0.2876820724517809,0.15899197860075145,0.5205355360598084
Wet_heat,44,-16.19,33,1,0.2727272727272727,0.7272727272727273,0.1650794153067574,0.4299874670471583,0.3184537311185346,0.1804186668061539,0.5620969307587014
Wet_heat,44,-16.23,32,1,0.29545454545454547,0.7045454545454546,0.18354238749538532,0.4538169597461742,0.35020242943311486,0.20278028156937378,0.6048011208570022
Wet_heat,44,-16.27,31,2,0.3409090909090909,0.6590909090909092,0.2215163848197168,0.5004616458250903,0.416893803931787,0.2504073345830256,0.6940708987064022
Wet_heat,44,-16.3,29,2,0.38636363636363635,0.6136363636363636,0.26077433773201586,0.545837129182223,0.48835276791393206,0.3021520429856349,0.7892993989801922
Wet_heat,44,-16.34,27,2,0.4318181818181818,0.5681818181818182,0.30122277378570605,0.5900116338005444,0.5653138090500606,0.3584232911011869,0.8916264948096442
Wet_heat,44,-16.38,25,1,0.45454545454545453,0.5454545454545455,0.3218744907679483,0.6116614847850195,0.6061358035703156,0.3884228913123202,0.9458778578382374
Wet_heat,44,-16.41,24,3,0.5227272727272727,0.47727272727272735,0.38549332897498445,0.674883914391776,0.7396671961948381,0.486935494013793,1.1235729739414635
Wet_heat,44,-16.45,21,1,0.5454545454545454,0.4545454545454546,0.4072508760829461,0.6953794323987899,0.78845736036427,0.5229840320350929,1.188688317487441
Wet_heat,44,-16.47,20,4,0.6363636363636364,0.3636363636363637,0.4971080742088254,0.7743452694993622,1.0116009116784799,0.6873799912300342,1.4887491890439213
Wet_heat,44,-16.5,16,3,0.7045454545454546,0.2954545454545455,0.5676882487898269,0.830115332784941,1.2192402764567245,0.8386083046796835,1.7726355003151006
Wet_heat,44,-16.56,13,1,0.7272727272727273,0.2727272727272728,0.5918938549376733,0.8479584433725312,1.2992829841302609,0.896227978947094,1.8836013966375937
Wet_heat,44,-16.6,12,4,0.8181818181818182,0.1818181818181819,0.6928003150892379,0.9147626596742408,1.7047480922384255,1.1802573033902588,2.4623156744234174
Wet_heat,44,-16.62,8,1,0.8409090909090909,0.15909090909090917,0.7192631990726819,0.9300613134869787,1.838279484862948,1.2703377000847231,2.660136327720265
Wet_heat,44,-16.65,7,1,0.8636363636363636,0.13636363636363644,0.7463545970458073,0.9446350169941364,1.9924301646902063,1.3718180387126482,2.8938079607793976
Wet_heat,44,-16.67,6,2,0.9090909090909091,0.09090909090909097,0.802899910368476,0.9710007355860631,2.3978952727983702,1.6240436100720488,3.5404848143540213
Wet_heat,44,-16.74,4,2,0.9545454545454546,0.045454545454545484,0.8639330285871722,0.991689087590049,3.091042453358317,1.9946080775942978,4.790185879517323
Wet_heat,44,-16.78,2,2,1.0,0.0,0.8639330285871722,1.0,inf,1.9946080775942978,inf
